#Position (bp)	insert size
2.2228430075E9	384.3336576849082
2.2310910335E9	353.776774802654
2.2393390595E9	167.34880814213017
2.2475870855E9	213.56917604586963
2.2558351115E9	166.15204221019593
2.263915105E9	175.59616330803453
2.26791743E9	156.15315315315314
2.2680854625E9	165.4278704612365
2.2723311635E9	1465.8859337838348
2.2805791895E9	2334.065118413584
2.2888272155E9	3236.9007391622827
2.2970752415E9	479.5467087800881
2.3053232675E9	278.3160594721818
2.3135712935E9	167.46290096932148
2.3218193195E9	1005.2859809609382
2.3300673455E9	2895.979104891229
2.3383153715E9	165.8255334859337
2.3465633975E9	166.25933795027328
2.3548114235E9	167.25173612654828
2.3630594495E9	164.1505445620494
2.3713074755E9	1014.4936070744621
2.3795555015E9	335.48440361775647
2.3878035275E9	166.82447857090705
2.3960515535E9	166.8362427079018
2.4042995795E9	167.24331119022278
2.4125476055E9	200.32198056132935
2.4207956315E9	167.35026299976127
2.4290436575E9	166.61676059172788
2.435968712E9	166.2328138184345
2.440092725E9	683.1752206113013
2.4455397095E9	904.5905630089982
2.4537877355E9	1875.259856848235
2.4620357615E9	166.91595089093775
2.4702837875E9	1292.0006135746078
2.4785318135E9	168.1076687641796
2.4867798395E9	594.1840937346947
2.4950278655E9	394.6691105121294
2.5032758915E9	542.7453378473691
2.5115239175E9	166.31443990578134
2.5197719435E9	414.50569823013495
2.5280199695E9	522.2133329404369
2.5362679955E9	166.896391339775
2.5445160215E9	693.1934795469912
2.5527640475E9	166.82266439579612
2.5610120735E9	166.53075121127907
2.5692600995E9	167.01679778110392
2.5775081255E9	167.6274632488983
2.5857561515E9	167.4923376357304
2.5939979455E9	165.8274343895649
2.5981219585E9	0.0
2.6022522035E9	165.77793341030835
2.6105002295E9	165.41409115281502
2.6187482555E9	1114.9030186041869
2.6269962815E9	763.8275405626055
2.6352443075E9	166.41311874137213
2.6434923335E9	166.6607784365151
2.6517403595E9	166.25805047867712
2.6599883855E9	165.6601023624716
2.6682364115E9	166.71362422445395
2.6764844375E9	165.7039643856346
