#Position (bp)	insert size
2.957966948E9	190.10704225352112
2.959643091E9	186.19984417608103
2.9619454965E9	185.8670190124858
2.9629642995E9	185.9751503006012
2.9631882465E9	183.4741045123275
2.9638297045E9	184.91151302994945
2.964449908E9	183.77103266248764
2.964631061E9	184.51969504447268
2.964824549E9	189.7930463576159
2.9650100095E9	185.58771929824562
2.9652029495E9	187.40537084398977
2.965396084E9	183.89743589743588
2.965570043E9	189.014064697609
2.9657404625E9	185.41843971631207
2.967555776E9	186.61797216699802
2.9698945975E9	187.32402267979708
2.971045755E9	184.54549090181965
2.971690351E9	185.98653455284554
2.974202933E9	185.8085995174475
2.977077113E9	184.46524064171123
2.977610308E9	183.62634088200238
2.9777653145E9	186.26192794547225
2.9801505935E9	185.99532840354848
2.982955129E9	184.26576139670223
2.983539274E9	184.13248638838476
2.984703745E9	186.94135930377124
2.9871683795E9	185.09504268176545
2.9890448965E9	187.27792027359197
2.9895768225E9	193.4486148346738
2.990013438E9	186.53888407054063
2.9909450775E9	186.05493575847302
2.991486762E9	199.7900923593619
2.9914961835E9	158.0
2.991498403E9	161.5
2.9915004565E9	163.0
2.9915021635E9	0.0
2.9915136375E9	190.8
2.9915265835E9	153.4
2.991529392E9	139.0
2.9915307145E9	0.0
2.9915325745E9	0.0
2.9915342115E9	0.0
2.99154091E9	165.75
2.9915659545E9	0.0
2.991585389E9	0.0
2.9915873015E9	132.5
2.991589869E9	125.66666666666667
2.991591628E9	144.0
2.991593215E9	0.0
2.991595448E9	109.0
2.9915976785E9	0.0
2.99159977E9	0.0
2.991601514E9	0.0
2.991602727E9	185.0
2.9916041595E9	0.0
2.991605782E9	0.0
2.991802493E9	184.16890727335402
2.99199914E9	152.65217391304347
2.9920006435E9	163.8
2.9920034905E9	160.58904109589042
2.992051942E9	160.73134328358208
2.992154686E9	187.9422506488691
2.992212966E9	259.25
2.992216201E9	195.25
2.9922185675E9	191.71428571428572
2.9922208195E9	184.875
2.992222888E9	139.6
2.9922245135E9	155.5
2.992236508E9	168.22727272727272
2.9923169155E9	160.65769230769232
2.9923888155E9	159.28571428571428
2.992395716E9	110.5
2.99240296E9	177.57142857142858
2.992408817E9	156.68421052631578
2.99241312E9	153.45454545454547
2.992415696E9	125.0
2.992418137E9	133.0
2.9924207125E9	204.0
2.992422293E9	158.14285714285714
2.992468444E9	179.20689655172413
2.9925146995E9	148.0
2.9925161E9	0.0
2.9925175995E9	161.0
2.992519784E9	168.55
2.992522045E9	141.3
2.9925263445E9	181.77777777777777
2.992545384E9	167.875
2.9925831375E9	151.63013698630138
2.992607717E9	159.30434782608697
2.992612316E9	179.54545454545453
2.9926178245E9	168.95833333333334
2.9926241555E9	178.76923076923077
2.992628755E9	149.2
2.9926331735E9	164.17241379310346
2.9926368975E9	170.51807228915663
2.9926382435E9	180.0
2.9926394475E9	176.33333333333334
2.992641481E9	146.11764705882354
2.9926433545E9	150.5
2.9926445925E9	186.25
2.9926460205E9	170.0
2.9926472475E9	141.5
2.992648321E9	156.46153846153845
2.992649783E9	181.0
2.992652112E9	179.0
2.9926553045E9	0.0
2.9926612295E9	156.0
2.9926659135E9	0.0
2.99266696E9	142.0
2.9926681315E9	0.0
2.992669974E9	261.0
2.992671936E9	0.0
