#Coverage	Number of genomic locations
465.0	33166.0
466.0	32990.0
467.0	32616.0
468.0	32567.0
469.0	31803.0
470.0	31575.0
471.0	31325.0
472.0	31169.0
473.0	31210.0
474.0	30759.0
475.0	30631.0
476.0	30117.0
477.0	30038.0
478.0	29732.0
479.0	29606.0
480.0	29168.0
481.0	29479.0
482.0	28988.0
483.0	28958.0
484.0	28712.0
485.0	28284.0
486.0	28369.0
487.0	28124.0
488.0	27629.0
489.0	27634.0
490.0	27359.0
491.0	27229.0
492.0	27330.0
493.0	26824.0
494.0	26601.0
495.0	26620.0
496.0	26424.0
497.0	26251.0
498.0	25941.0
499.0	25839.0
500.0	25619.0
501.0	25481.0
502.0	25104.0
503.0	24835.0
504.0	24910.0
505.0	24550.0
506.0	24296.0
507.0	24096.0
508.0	23915.0
509.0	23935.0
510.0	23887.0
511.0	23597.0
512.0	23481.0
513.0	23284.0
514.0	22917.0
515.0	22631.0
516.0	22547.0
517.0	22476.0
518.0	22730.0
519.0	22228.0
520.0	22114.0
521.0	22041.0
522.0	21611.0
523.0	21760.0
524.0	21421.0
525.0	21183.0
526.0	21241.0
527.0	21015.0
528.0	21157.0
529.0	21227.0
530.0	20644.0
531.0	20568.0
532.0	20451.0
533.0	19990.0
534.0	19986.0
535.0	20055.0
536.0	19728.0
537.0	19701.0
538.0	19500.0
539.0	19278.0
540.0	19271.0
541.0	19270.0
542.0	18641.0
543.0	18620.0
544.0	18528.0
545.0	18659.0
546.0	18142.0
547.0	18143.0
548.0	18217.0
549.0	17821.0
550.0	17701.0
551.0	17705.0
552.0	17541.0
553.0	17385.0
554.0	17258.0
555.0	17173.0
556.0	17083.0
557.0	16743.0
558.0	16875.0
559.0	16595.0
560.0	16796.0
561.0	16649.0
562.0	16265.0
563.0	16111.0
564.0	15907.0
565.0	16059.0
566.0	16013.0
567.0	15714.0
568.0	15350.0
569.0	15301.0
570.0	15437.0
571.0	14923.0
572.0	15223.0
573.0	15164.0
574.0	14780.0
575.0	14741.0
576.0	14616.0
577.0	14364.0
578.0	14570.0
579.0	14413.0
580.0	14534.0
581.0	14212.0
582.0	14187.0
583.0	13987.0
584.0	13717.0
585.0	14036.0
586.0	13724.0
587.0	13605.0
588.0	13446.0
589.0	13484.0
590.0	13092.0
591.0	13245.0
592.0	13199.0
593.0	13169.0
594.0	13072.0
595.0	12728.0
596.0	12885.0
597.0	12725.0
598.0	12569.0
599.0	12775.0
600.0	12331.0
601.0	12473.0
602.0	12375.0
603.0	12432.0
604.0	12173.0
605.0	12042.0
606.0	11925.0
607.0	11864.0
608.0	12027.0
609.0	11940.0
